competition_id	inferred_overs	infer_balls_per_over
24391	40	6
24392	20	6
24394	20	6
26855	40	6
26857	40	6
26859	40	6
26860	40	6
35436	40	6
45352	15	8
66239	20	6
65837	45	6
1558	40	6
2814	15	8
4698	45	6
4708	45	6
8130	15	8
15781	40	6
15782	40	6
22937	45	6
22938	45	6
23264	40	6
24393	20	6
26856	40	6
26858	40	6
28635	20	6
33862	40	6
33872	20	6
33873	20	6
35437	40	6
35439	40	6
35440	40	6
38151	40	6
42419	20	6
43027	15	6
46460	40	6
46935	15	8
53152	15	8
53183	40	6
54356	50	6
491	40	6
6450	40	6
14576	20	6
8492	40	6
50394	15	8
28976	15	8
3854	15	8
8131	15	8
3855	15	8
36562	20	6
58393	15	8
39418	20	6

# village cup:
15779	40	6
15764	40	6
15780	40	6
15843	40	6
15781	40	6
15844	40	6
15782	40	6
15845	40	6
15776	40	6
15783	40	6
27904	40	6
15784	40	6
15777	40	6
27905	40	6
15785	40	6
35075	40	6
36530	40	6
38890	40	6
40917	40	6
38892	40	6
43649	40	6
43663	40	6
43657	40	6
43647	40	6
47381	40	6
47346	40	6
47347	40	6
47725	40	6
49536	40	6
49540	40	6
49539	40	6
49526	40	6
52656	40	6
52880	40	6
52636	40	6
52633	40	6
52653	40	6
52629	40	6
52628	40	6
52627	40	6
52654	40	6
52660	40	6
55154	40	6
55158	40	6
55136	40	6
55145	40	6
55138	40	6
57702	40	6
57675	40	6
58668	40	6
57671	40	6
57670	40	6
57667	40	6
57666	40	6
60634	40	6
60619	40	6
63676	40	6
64799	40	6
63641	40	6
63670	40	6
63568	40	6
66696	40	6
66711	40	6
67813	40	6
66688	40	6

# cambs league
68297	45	6
68699	20	6
48835	40	6

# doubtful 
58436	15	8
49490	20	6
#47558
